# Logfile created on 2012-03-16 00:30:16 -0300 by logger.rb/31641
F, [2012-03-16T00:30:16.718007 #2919] FATAL -- : File does not exist
I, [2012-03-16T00:30:37.303486 #2944]  INFO -- : Initializing file text.txt ...
I, [2012-03-16T00:30:37.303784 #2944]  INFO -- :  Processing file ....
I, [2012-03-16T00:30:37.303940 #2944]  INFO -- :    Opening file ....
I, [2012-03-16T00:30:37.304111 #2944]  INFO -- :      Processing line number: 1
I, [2012-03-16T00:30:37.304226 #2944]  INFO -- :      Processing line number: 2
I, [2012-03-16T00:30:37.304408 #2944]  INFO -- :      Processing line number: 3
I, [2012-03-16T00:30:37.304570 #2944]  INFO -- :      Processing line number: 4
I, [2012-03-16T00:30:37.304682 #2944]  INFO -- :      Processing line number: 5
I, [2012-03-16T00:30:37.304789 #2944]  INFO -- :      Processing line number: 6
I, [2012-03-16T00:30:37.304927 #2944]  INFO -- :      Processing line number: 7
I, [2012-03-16T00:30:37.305033 #2944]  INFO -- :      Processing line number: 8
I, [2012-03-16T00:30:37.305141 #2944]  INFO -- :      Processing line number: 9
I, [2012-03-16T00:30:37.305237 #2944]  INFO -- :      Processing line number: 10
I, [2012-03-16T00:30:37.305344 #2944]  INFO -- :      Processing line number: 11
I, [2012-03-16T00:30:37.305448 #2944]  INFO -- :      Processing line number: 12
I, [2012-03-16T00:30:37.305553 #2944]  INFO -- :      Processing line number: 13
I, [2012-03-16T00:30:37.305658 #2944]  INFO -- :      Processing line number: 14
I, [2012-03-16T00:30:37.305762 #2944]  INFO -- :      Processing line number: 15
I, [2012-03-16T00:30:37.305932 #2944]  INFO -- :      Processing line number: 16
I, [2012-03-16T00:30:37.306041 #2944]  INFO -- :      Processing line number: 17
I, [2012-03-16T00:30:37.306146 #2944]  INFO -- :      Processing line number: 18
I, [2012-03-16T00:30:37.306246 #2944]  INFO -- :      Processing line number: 19
I, [2012-03-16T00:30:37.306360 #2944]  INFO -- :      Processing line number: 20
I, [2012-03-16T00:30:37.306478 #2944]  INFO -- :      Processing line number: 21
I, [2012-03-16T00:30:37.306583 #2944]  INFO -- :      Processing line number: 22
I, [2012-03-16T00:30:37.306688 #2944]  INFO -- :      Processing line number: 23
I, [2012-03-16T00:30:37.306794 #2944]  INFO -- :      Processing line number: 24
I, [2012-03-16T00:30:37.306926 #2944]  INFO -- :      Processing line number: 25
I, [2012-03-16T00:30:37.307032 #2944]  INFO -- :      Processing line number: 26
I, [2012-03-16T00:30:37.307136 #2944]  INFO -- :      Processing line number: 27
I, [2012-03-16T00:30:37.307240 #2944]  INFO -- :      Processing line number: 28
I, [2012-03-16T00:30:37.307371 #2944]  INFO -- :      Processing line number: 29
I, [2012-03-16T00:30:37.307514 #2944]  INFO -- :      Processing line number: 30
I, [2012-03-16T00:30:37.307624 #2944]  INFO -- :      Processing line number: 31
I, [2012-03-16T00:30:37.307729 #2944]  INFO -- :      Processing line number: 32
I, [2012-03-16T00:30:37.307833 #2944]  INFO -- :      Processing line number: 33
I, [2012-03-16T00:30:37.307936 #2944]  INFO -- :      Processing line number: 34
I, [2012-03-16T00:30:37.308040 #2944]  INFO -- :      Processing line number: 35
I, [2012-03-16T00:30:37.308145 #2944]  INFO -- :      Processing line number: 36
I, [2012-03-16T00:30:37.308250 #2944]  INFO -- :      Processing line number: 37
I, [2012-03-16T00:30:37.308423 #2944]  INFO -- :      Processing line number: 38
I, [2012-03-16T00:30:37.308532 #2944]  INFO -- :      Processing line number: 39
I, [2012-03-16T00:30:37.308636 #2944]  INFO -- :      Processing line number: 40
I, [2012-03-16T00:30:37.308740 #2944]  INFO -- :      Processing line number: 41
I, [2012-03-16T00:30:37.308872 #2944]  INFO -- :      Processing line number: 42
I, [2012-03-16T00:30:37.308977 #2944]  INFO -- :      Processing line number: 43
I, [2012-03-16T00:30:37.309081 #2944]  INFO -- :      Processing line number: 44
I, [2012-03-16T00:30:37.309185 #2944]  INFO -- :      Processing line number: 45
I, [2012-03-16T00:30:37.309281 #2944]  INFO -- :      Processing line number: 46
I, [2012-03-16T00:30:37.309421 #2944]  INFO -- :      Processing line number: 47
I, [2012-03-16T00:30:37.309539 #2944]  INFO -- :      Processing line number: 48
I, [2012-03-16T00:30:37.309646 #2944]  INFO -- :      Processing line number: 49
I, [2012-03-16T00:30:37.309750 #2944]  INFO -- :      Processing line number: 50
I, [2012-03-16T00:30:37.309884 #2944]  INFO -- :      Processing line number: 51
I, [2012-03-16T00:30:37.309981 #2944]  INFO -- :      Processing line number: 52
I, [2012-03-16T00:30:37.310084 #2944]  INFO -- :      Processing line number: 53
I, [2012-03-16T00:30:37.310188 #2944]  INFO -- :      Processing line number: 54
I, [2012-03-16T00:30:37.310292 #2944]  INFO -- :      Processing line number: 55
I, [2012-03-16T00:30:37.310445 #2944]  INFO -- :      Processing line number: 56
